customer_id,age,account_age_months,total_purchases,avg_order_value,days_since_last_purchase,cart_abandonment_rate,product_reviews_count,avg_review_rating,email_opens,bounce_rate,customer_segment,device_type,country,has_promo_code,high_value_purchase
1,40,3,8,144.80399062953524,19.0,0.44820906746415645,5,4.730585887063068,6,0.06677934668475552,Platinum,Desktop,Germany,1,1
2,33,4,6,135.23077431502946,14.0,0.7481364627635777,6,4.4420748551026,6,0.009125220204052145,Platinum,Tablet,Canada,0,1
3,42,12,9,127.48929699317429,29.0,0.2777728722071735,2,2.8512508173554747,7,0.2156908263053649,Bronze,Mobile,USA,0,0
4,53,6,13,103.2749291442715,19.0,0.1719995588072769,1,,8,0.21609718237211842,Bronze,Mobile,Germany,0,0
5,32,5,9,135.39203026489747,36.0,0.702959760774412,4,4.204662967288204,5,0.35871528449354345,Silver,Mobile,UK,1,1
6,32,20,4,257.84517887390416,28.0,0.38412720288018287,3,3.2464816260039937,2,0.1419573466603035,Platinum,Mobile,UK,1,1
7,53,21,9,130.5743719938703,25.0,0.5636035750358989,1,3.1072746211971154,3,0.23453577381770646,Gold,Mobile,UK,0,1
8,44,34,9,101.21771651949898,94.0,0.9410687359011349,2,3.60409947767297,4,0.08706414269043068,Gold,Mobile,India,0,1
9,29,10,6,47.83545721331622,54.0,0.4840936949781862,3,3.888521460127095,6,0.16145337832755238,Gold,Mobile,UK,0,1
10,41,1,10,474.8760014803481,28.0,0.15239212924667667,2,4.283222172735963,4,0.05679085591812101,Platinum,Mobile,India,1,1
11,29,6,13,23.39116371099639,23.0,0.4267035131904672,1,3.2979721808067963,11,0.19135986315684106,Platinum,Mobile,Canada,0,1
12,29,78,7,70.57332175088318,38.0,0.47853097583229487,0,3.9849904761905526,0,0.30687868630607906,Gold,Desktop,Canada,0,1
13,37,18,5,48.86745815233578,48.0,0.7659784108779331,5,1.7425105312547267,5,0.04971796361642858,Platinum,Mobile,Canada,1,0
14,12,24,8,10.049032538738826,10.0,0.1951882554966371,2,3.984490361053017,6,0.40484144262274707,Bronze,Mobile,Canada,0,0
15,14,0,5,137.63089746024892,32.0,0.346901767343339,4,1.2325644027951683,4,0.38377195513158296,Platinum,Tablet,UK,0,0
16,28,14,12,70.53336611234825,4.0,0.050028319564352275,1,3.633837460725798,3,0.12303220008859973,Platinum,Desktop,Germany,0,1
17,22,0,11,93.52710819110598,16.0,0.7019779314082053,4,3.8500134562415416,4,0.3484912711442171,Silver,Desktop,Canada,1,1
18,38,16,11,72.63221750763809,83.0,0.7439323438996529,4,4.870189796001885,1,0.20499681524269106,Bronze,Desktop,Germany,0,0
19,24,50,8,222.2786976964235,11.0,0.4571913688027571,4,2.6871294116398197,6,0.35898566270850263,Platinum,Mobile,Canada,1,1
20,18,69,5,259.2411096355265,5.0,0.5382686586643258,1,1.4561990272665342,2,0.46096345669820216,Bronze,Mobile,India,1,0
21,52,15,9,24.010258120888146,4.0,0.7498138382317276,2,2.3385477871960627,4,0.38165924995879086,Bronze,Mobile,UK,0,0
22,32,12,12,748.750528981914,15.0,0.26830143047393706,3,,3,0.5171210741095027,Silver,Mobile,Canada,0,1
23,35,58,14,67.47721154359027,7.0,0.6069652858904117,1,4.079949586066648,7,0.4782042582492039,Platinum,Desktop,Germany,0,1
24,17,22,4,182.19846727943704,16.0,0.9639193476849505,4,,4,0.2610691825662745,Bronze,Desktop,USA,1,1
25,28,1,6,111.762639347027,38.0,0.6579678184122032,2,1.6792306162321067,4,0.04434411108745307,Gold,Desktop,India,0,1
26,36,12,11,102.19229451033677,,0.07811013672136391,3,1.879156553958373,6,0.5757817764151387,Platinum,Mobile,Germany,0,1
